id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,NA
9824682,1 bedroom apartment w/ Private yard,19103161,Jonathan,Brooklyn,Greenpoint,40.72647,-73.94878,Entire home/apt,150,30,0,0.7487066474,1,0,
9825939,"Room in Luxury Apt, Williamsburg",9055412,Alexandra,Brooklyn,Williamsburg,40.70663,-73.94701,Private room,100,30,0,0.7487066474,1,0,
9826628,"Sunny Room, Huge Yard, Best of Brooklyn",820010,Luba,Brooklyn,Bedford-Stuyvesant,40.69079,-73.94239,Private room,89,2,146,2.13,2,350,
9827236,Beautiful Room with Private Balcony,25752230,Bruno,Brooklyn,Bushwick,40.69224,-73.91834,Private room,69,30,0,0.7487066474,1,0,
9831392,Cozy Modern Apartment Above Subway,49453860,Xionghui,Queens,Forest Hills,40.72247,-73.84549,Entire home/apt,123,30,0,0.7487066474,1,0,
9835402,"Manhattan, luxury, 2 bedroom condo",47785416,Peter,Manhattan,Upper East Side,40.78146,-73.95008,Entire home/apt,300,30,0,0.7487066474,1,0,
9836020,Newly Renovated Tribeca 2 br,33908393,Jay,Manhattan,Tribeca,40.71796,-74.01117,Entire home/apt,197,30,0,0.7487066474,1,0,
9836960,Cozy Room in Cozy Apartment,38064272,Son,Brooklyn,Bedford-Stuyvesant,40.68513,-73.95097,Private room,19,30,3,0.05,1,0,
9837205,Cozy private room in Bayridge Brooklyn New York,16209547,Gigi,Brooklyn,Fort Hamilton,40.61563,-74.03211,Private room,150,2,9,0.13,5,365,
9838145,Bright 3 BR East Village apartment,5904463,Katherine,Manhattan,East Village,40.72489,-73.98256,Entire home/apt,250,30,0,0.7487066474,4,0,
9838585,Pre-war 1 br in heart of BK Heights,18982207,Kate,Brooklyn,Brooklyn Heights,40.69389,-73.99444,Entire home/apt,130,30,0,0.7487066474,1,0,
9839017,MBnb,3510997,Joe,Manhattan,Harlem,40.82421,-73.95142,Private room,95,3,40,0.6,1,65,
9839263,Location Little Nana (only female),3250450,Petya,Queens,Astoria,40.76222,-73.92417,Private room,39,30,0,0.7487066474,18,338,
9839378,Exposed Brick in the East Village,5657756,Jenny,Manhattan,East Village,40.72452,-73.98809,Entire home/apt,225,4,7,0.11,1,0,
9839532,"Bd in Best Location of Williamsburg, Brooklyn",11303788,Paul,Brooklyn,Williamsburg,40.71039,-73.95694,Private room,75,30,1,0.04,1,173,
9839906,Beautiful sunny room in Brooklyn,14018666,Laura,Brooklyn,Sheepshead Bay,40.58553,-73.95523,Private room,47,30,9,0.14,1,0,
9840355,Gorgeous apartment in West Village,3242525,Ther,Manhattan,West Village,40.73051,-74.00279,Entire home/apt,120,30,1,0.02,1,0,
9841695,"Beautiful , Peaceful , Paradise",50678424,Don,Brooklyn,Bedford-Stuyvesant,40.6875,-73.94747,Entire home/apt,260,30,43,0.86,1,364,
